username,listener_type,listener_type_description,behavior_profile,assignment_rule,behavior_rule,total_plays,active_days,active_days_share,avg_daily_plays,max_daily_plays,evening_share,night_share,weekend_share,main_day_part,peak_hour,session_count,avg_session_length
Babs_05,Интенсивный,Пользователь с высоким средним числом прослушиваний в активный день.,Смешанная активность,avg_daily_plays >= upper_quartile,share_gap < 0.10; top_share=evening_share; second_share=day_share,33695,31,1.0,1086.935484,16302,0.397418,0.125182,0.696127,Вечер,18,203,100.039409
Knapster01,Интенсивный,Пользователь с высоким средним числом прослушиваний в активный день.,Смешанная активность,avg_daily_plays >= upper_quartile,share_gap < 0.10; top_share=evening_share; second_share=day_share,27015,30,0.967742,900.5,11688,0.384379,0.126189,0.647603,Вечер,22,176,110.0625
Orlenay,Регулярный,Пользователь со стабильной активностью без экстремально высокой интенсивности.,Смешанная активность,default regular listener rule,share_gap < 0.10; top_share=evening_share; second_share=day_share,10123,31,1.0,326.548387,3667,0.383977,0.09918,0.619085,Вечер,18,151,94.675497
eartle,Регулярный,Пользователь со стабильной активностью без экстремально высокой интенсивности.,Смешанная активность,default regular listener rule,share_gap < 0.10; top_share=day_share; second_share=evening_share,20966,31,1.0,676.322581,7878,0.365353,0.105409,0.58323,День,18,171,113.181287
franhale,Интенсивный,Пользователь с высоким средним числом прослушиваний в активный день.,Смешанная активность,avg_daily_plays >= upper_quartile,share_gap < 0.10; top_share=evening_share; second_share=day_share,32712,31,1.0,1055.225806,15177,0.394167,0.117633,0.677336,Вечер,22,191,111.094241
isaac,Регулярный,Пользователь со стабильной активностью без экстремально высокой интенсивности.,Дневная активность,default regular listener rule,share_gap >= 0.10; main_day_part=День,1780,25,0.806452,71.2,403,0.28764,0.082022,0.452809,День,13,94,57.5
jajo,Эпизодический,Пользователь с низкой долей активных дней и нерегулярным прослушиванием.,Дневная активность,active_days_share <= lower_quartile,share_gap >= 0.10; main_day_part=День,1102,17,0.548387,64.823529,277,0.283122,0.107985,0.530853,День,16,49,73.44898
jonocole,Регулярный,Пользователь со стабильной активностью без экстремально высокой интенсивности.,Смешанная активность,default regular listener rule,share_gap < 0.10; top_share=evening_share; second_share=day_share,17230,31,1.0,555.806452,5424,0.359025,0.120662,0.568079,Вечер,18,166,109.536145
lobsterclaw,Эпизодический,Пользователь с низкой долей активных дней и нерегулярным прослушиванием.,Смешанная активность,active_days_share <= lower_quartile,share_gap < 0.10; top_share=day_share; second_share=evening_share,1063,17,0.548387,62.529412,258,0.293509,0.122295,0.503293,День,18,52,68.576923
massdosage,Регулярный,Пользователь со стабильной активностью без экстремально высокой интенсивности.,Смешанная активность,default regular listener rule,share_gap < 0.10; top_share=evening_share; second_share=day_share,19015,31,1.0,613.387097,7420,0.375177,0.11107,0.626453,Вечер,18,162,106.783951
mremond,Эпизодический,Пользователь с низкой долей активных дней и нерегулярным прослушиванием.,Смешанная активность,active_days_share <= lower_quartile,share_gap < 0.10; top_share=day_share; second_share=evening_share,1452,17,0.548387,85.411765,509,0.287879,0.113636,0.619146,День,16,50,84.06
